"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FB2WDXXG","journalArticle","2017","Revilla, Melanie; Toninelli, Daniele; Ochoa, Carlos","An experiment comparing grids and item-by-item formats in web surveys completed through PCs and smartphones.","Telematics & Informatics","","","","http://www.redi-bw.de/db/ebsco.php/search.ebscohost.com/login.aspx%3fdirect%3dtrue%26db%3dufh%26AN%3d117440989%26site%3dehost-live","Some respondents already complete web surveys via mobile devices. These devices vary at several levels from PCs. In particular, we expect differences when grid questions are used due to the lower visibility on mobile devices and because in questionnaires optimized to be completed through smartphones, grids are split up into an item-by-item format. This paper reports the results of a two-wave experiment conducted in Spain in 2015, comparing three groups: PCs, smartphones not-optimized, or smartphones optimized. We found similar levels of interitem correlations, longer completion times for grid questions for smartphone respondents, and sometimes less non-differentiation for PCs. Thus, using the item-by-item format for smartphones and PCs seems the most appropriate way to improve comparability. [ABSTRACT FROM AUTHOR]","2017","2022-01-08 12:52:53","2022-01-08 12:52:53","","30-42","","1","34","","","","","","","","","","","","","","","","","","","","","Smartphones; Mobile communication systems; Completion time; Personal computers; Web surveys; Comparative studies; Grids; Interitem correlation; Non-differentiation; Internet surveys; Grid computing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8WD8IYY","journalArticle","2019","Bosch, Oriol J.; Revilla, Melanie; Paura, Ezequiel","Answering Mobile Surveys With Images: An Exploration Using a Computer Vision API","Social Science Computer Review","","","10.1177/0894439318791515","https://doi.org/10.1177/0894439318791515","Most mobile devices nowadays have a camera. Besides, posting and sharing images have been found as one of the most frequent and engaging Internet activities. However, to our knowledge, no research has explored the feasibility of asking respondents of online surveys to upload images to answer survey questions. The main goal of this article is to investigate the viability of asking respondents of an online opt-in panel to upload during a mobile web survey: First, a photo taken in the moment, and second, an image already saved on their smartphone. In addition, we want to test to what extent the Google Vision application programming interface (API), which can label images into categories, produces similar tags than a human coder. Overall, results from a survey conducted among millennials in Spain and Mexico (N = 1,614) show that more than half of the respondents uploaded an image. Of those, 77.3% and 83.4%, respectively, complied with what the question asked. Moreover, respectively, 52.4% and 65.0% of the images were similarly codified by the Google Vision API and the human coder. In addition, the API codified 1,818 images in less than 5 min, whereas the human coder spent nearly 35 hours to complete the same task.","2019","2022-01-08 12:52:53","2022-01-08 12:52:53","","669-683","","5","37","","","","","","","","","","","","","","","","","","","","","Mobile Devices; computer vision; Cameras; Computer vision; Internet; Smartphones; Education--Computer Applications; Electronic devices; mobile web survey; Polls & surveys; Questions; API; Computers; image recognition; new data types; Online Surveys; smartphone; COMMUNICATION; Millennials; MILLENNIALS; PHOTO; Photography; Application programming interface; Codification; Images; Viability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C86P62FD","journalArticle","2019","Ha, Louisa,; Zhang, Chenjie","Are computers better than smartphones for web survey responses?","Online Information Review","","","10.1108/OIR-11-2017-0322","","Purpose The purpose of this paper is to examine the effect of smartphones and computers as web survey entry response devices on the quality of responses in different question formats and across different survey invitations delivery modes. The respondents' preference of device and the response immediacy were also compared. Design/methodology/approach Two field experiments were conducted with a cluster sampling and a census of all students in a public university in the USA. Findings Device effect on response quality was only found when using computer-aided self-interviews, but not in e-mail delivered web surveys. Even though the computer was the preferred device, but the smartphone's immediate response was significantly higher than the computer. Research limitations/implications The sample was restricted to college students who are more proficient users of smartphones and have high access to computers. But the direct comparison in the two studies using the same population increases the internal validity of the study comparing different web survey delivery modes. Practical implications Because of the minor differences in device on response quality, researchers can consider using more smartphones for field work such as computer-aided self-interviews to complement e-mail delivered surveys. Originality/value This is the first study that compares the response device effects of computer-aided self-interviews and e-mailed delivered web surveys. Because web surveys are increasingly used and various devices are being used to collect data, how respondents behave in different devices and the strengths and weaknesses of different methods of delivery survey help researchers to improve data quality and develop effective web survey delivery and participant recruitment.","2019","2022-01-08 12:52:53","2022-01-08 12:52:53","","350-368","","3","43","","","","","","","","","","","","","","","","","","","","","Smartphones; QUALITY; DESIGN; MOBILE; PC WEB; MODES; Computer-aided self-interviews; DATA-COLLECTION; Mobile survey; Survey response quality; Web survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNVQ5GQP","journalArticle","2015","Buskirk, Trent D.","Are sliders too slick for surveys? An experiment comparing slider and radio button scales for smartphone, tablet and computer based surveys","methods, data, analyses","","","","https://www.wiso-net.de/document/MDA__45666","""The continued rise in smartphone penetration globally afford survey researchers with an unprecedented portal into personal survey data collection from respondents who could complete surveys from virtually any place at any time. While the basic research into optimizing the survey experience and data collection on mobile devices has continued to develop, there are still fundamental gaps in our knowledge of how to optimize certain types of questions in the mobile setting. In fact, survey researchers are still trying to understand which online design principles directly translate into presentation on mobile devices and which principles have to be modified to incorporate separate methods for these devices. One such area involves the use of input styles such as sliding scales that lend themselves to more touch centric input devices such as smartphones or tablets. Operationalizing these types of scales begs the question of an optimal starting position and whether these touch centric input styles are equally preferred by respondents using less touch capable devices. While an outside starting position seems optimal for slider questions completed via computer, this solution may not be optimal for completion via mobile devices as these devices are subjected to far more space and layout constraints compared to computers. This experiment moves the mixed device survey literature forward by directly comparing outcomes from respondents who completed a collection of survey scales using their smartphone, tablet or computer. Within each device, respondents were randomly assigned to complete one of 20 possible versions of scale items determined by a combination of three experimental factors including input style, length and number formatting. Results from this study suggest more weaknesses than strengths for using slider scales to collect survey data using mobile devices and also suggest that preference for these touch centric input styles varies across devices and may not be as high as the preference for the more traditional radio button style."" (author's abstract)","2015","2022-01-08 12:52:53","2022-01-08 12:52:53","","229-260","","2","9","","","","","","","","","","","","","","","","","","","","","Mobiltelefon; Datengewinnung; Antwortverhalten; data capture; online survey; Online-Befragung; response behavior; survey research; Umfrageforschung; Datenqualität; data quality; cell phone; computer; Computer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZIMNSLF","journalArticle","2017","Revilla, Melanie","Are There Differences Depending on the Device Used to Complete a Web Survey (PC or Smartphone) for Order-by-click Questions?","Field methods","","","10.1177/1525822X16674701","https://doi.org/10.1177/1525822X16674701","The development of web surveys has been accompanied by the emergence of new scales, taking advantages of the visual and interactive features provided by the Internet like drop-down menus, sliders, drag-and-drop, or order-by-click scales. This article focuses on the order-by-click scales, studying the comparability of the data obtained for this scale when answered through PCs versus smartphones. I used data from an experiment where panelists from the Netquest opt-in panel in Spain were randomly assigned to a PC, smartphone optimized, or smartphone not-optimized version of the same questionnaire in two waves. I found significant differences due to the device and optimization at least for some indicators and questions.","2017","2022-01-08 12:52:53","2022-01-08 12:52:53","","266-280","","3","29","","","","","","","","","","","","","","","","","","","","","Internet; Smartphones; smartphones; Polls & surveys; Research responses; Questionnaires; Mobile Phones; Surveys; Websites; MOBILE; web surveys; Anthropology; Microcomputers; COMPUTER; PANELS; PC; social anthropology; 0514:culture and social structure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QTXHS9D2","journalArticle","2019","Haan, Marieke; Lugtig, Peter; Toepoel, Vera","Can we predict device use? An investigation into mobile device use in surveys","International Journal of Social Research Methodology","","","10.1080/13645579.2019.1593340","","In this study, we investigate whether mobile device use in surveys can be predicted. We aim to identify possible motives for device use and build a model by drawing on theory from technology acceptance research and survey research. We then test this model with a Structural Equation Modeling approach using data of seven waves of the GESIS panel. We test whether our theoretical model fits the data by focusing on measures of fit, and by studying the standardized effects of the model. Results reveal that intention to use a particular device can predict actual use quite well. Ease of smartphone use is the most meaningful variable: if people use a smartphone for specific tasks, their intention to use a smartphone for survey completion is also more likely. In conclusion, investing in ease of use of mobile survey completion could encourage respondents to use mobile devices. This can foremost be established by building well-designed surveys for mobile devices.","2019","2022-01-08 12:52:53","2022-01-08 12:52:53","","517-531","","5","22","","","","","","","","","","","","","","","","","","","","","ACCEPTANCE; TECHNOLOGY; technology acceptance; WEB; mixed device; Mobile device use; ONLINE SURVEYS; panel survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGLVAJJA","journalArticle","2019","Erens, Bob; Manacorda, Tommaso; Gosling, Jennifer; Mays, Nicholas; Reid, David; Taylor, William","Comparing data quality from personal computers and mobile devices in an online survey among professionals Funding acknowledgement","Social Research Practice","","","","www.qualtrics.com","It is increasingly common for respondents to complete web surveys using mobile devices (smartphones and tablets) rather than personal computers/laptops (PCs). Evidence of the impact of the use of mobile devices on response and data quality shows mixed results and is only available for general population surveys. We looked at response quality for a work-related survey in the UK among general practitioners (GPs). GPs were sent email invitations to complete a web survey and half (55%) completed it on a mobile device. While GPs using a mobile device were less likely to complete the full questionnaire than those using a PC, we found no differences in data quality between mobile and PC users, except for PC users being more likely to respond to open-ended questions.","2019","2022-01-08 12:52:53","2022-01-08 12:52:53","","15-26","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSQR9RUS","journalArticle","2018","Revilla, Melanie; Couper, Mick P.","Comparing Grids With Vertical and Horizontal Item-by-Item Formats for PCs and Smartphones","Social Science Computer Review","","","10.1177/0894439317715626","https://doi.org/10.1177/0894439317715626","Much research has been done comparing grids and item-by-item formats. However, the results are mixed, and more research is needed especially when a significant proportion of respondents answer using smartphones. In this study, we implemented an experiment with seven groups (n = 1,476), varying the device used (PC or smartphone), the presentation of the questions (grids, item-by-item vertical, item-by-item horizontal), and, in the case of smartphones only, the visibility of the ?next? button (always visible or only visible at the end of the page, after scrolling down). The survey was conducted by the Netquest online fieldwork company in Spain in 2016. We examined several outcomes for three sets of questions, which are related to respondent behavior (completion time, lost focus, answer changes, and screen orientation) and data quality (item missing data, nonsubstantive responses, instructional manipulation check failure, and nondifferentiation). The most striking difference found is for the placement of the next button in the smartphone item-by-item conditions: When the button is always visible, item missing data are substantially higher.","2018","2022-01-08 12:52:53","2022-01-08 12:52:53","","349-368","","3","36","","","","","","","","","","","","","","","","","","","","","Technology; Visibility; Internet; Smartphones; Education--Computer Applications; smartphones; Telephone communications; data quality; Data quality; Mobile Phones; DESIGN; web surveys; Microcomputers; Product Design; Human Factors Engineering; WEB SURVEYS; Completion time; PARADATA; Missing data; Scrolling; grids; item-by-item; respondent behavior; scale orientation; LAYOUT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5UQQVKE","journalArticle","2013","De Bruijne, Marika; Wijnant, Arnaud","Comparing Survey Results Obtained via Mobile Devices and Computers: An Experiment With a Mobile Web Survey on a Heterogeneous Group of Mobile Devices Versus a Computer-Assisted Web Survey","Social Science Computer Review","","","10.1177/0894439313483976","https://doi.org/10.1177/0894439313483976","With the growing popularity of smartphones and tablet PCs (tablets) equipped with mobile browsers, the possibilities to administer surveys via mobile devices have expanded. To investigate the possible mode effect on answer behavior, results are compared between a mobile device?assisted web survey and a computer-assisted web survey. First, a premeasurement in the CentERpanel is conducted to analyze the user group of mobile devices. Second, the users are randomly allocated one of the three conditions: (1) conventional computer-assisted web survey, (2) hybrid version: a computer-assisted web survey with a layout similar to mobile web survey, and (3) mobile web survey. Special attention is given to the design of the mobile web questionnaire, taking small screen size, and typical functionalities for touchscreens into account. The findings suggest that survey completion on mobile devices need not lead to different results than on computers, but one should be prepared for a lower response rate and longer survey completion time. Further, the study offers considerations for researchers on survey satisfaction, location during survey completion, and preferred device to access Internet. With adaptations, surveys can be conducted on the newest mobile devices, although new challenges are emerging and further research is called for.","2013","2022-01-08 12:52:53","2022-01-08 12:52:53","","482-504","","4","31","","","","","","","","","","","","","","","","","","","","","Heterogeneity; Portable computers; Internet; Smartphones; Education--Computer Applications; smartphones; mobile web survey; Polls & surveys; Satisfaction; mobile devices; Mobile Phones; Surveys; Computers; Attention; computer web survey; mobile device; Popularity; research surveys; response rate; special attention; INTERPRETIVE HEURISTICS; SEARCH; Access; SURVEY DESIGN; Response rates; Comparative studies; computer methods, media, & applications; OPTIMAL NUMBER; RATING-SCALES; survey design; tablet PCs; touch user interfaces; 0188: methodology and research technology; article; mobile web survey smartphones tablet PCs mobile devices survey design touch user interfaces","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92WGWQCX","journalArticle","2014","Wells, Tom; Bailey, Justin T.; Link, Michael W.","Comparison of Smartphone and Online Computer Survey Administration","Social Science Computer Review","","","10.1177/0894439313505829","https://doi.org/10.1177/0894439313505829","The dramatic rise of smartphones has profound implications for survey research. Namely, can smartphones become a viable and comparable device for self-administered surveys? The current study is based on approximately 1,500 online U.S. panelists who were smartphone users and who were randomly assigned to the mobile app or online computer mode of a survey. Within the survey, we embedded several experiments that had been previously tested in other modes (mail, PC web, mobile web). First, we test whether responses in the mobile app survey are sensitive to particular experimental manipulations as they are in other modes. Second, we test whether responses collected in the mobile app survey are similar to those collected in the online computer survey. Our mobile survey experiments show that mobile survey responses are sensitive to the presentation of frequency scales and the size of open-ended text boxes, as are responses in other survey modes. Examining responses across modes, we find very limited evidence for mode effects between mobile app and PC web survey administrations. This may open the possibility for multimode (mobile and online computer) surveys, assuming that certain survey design recommendations for mobile surveys are used consistently in both modes.","2014","2022-01-08 12:52:53","2022-01-08 12:52:53","","238-255","","2","32","","","","","","","","","","","","","","","","","","","","","Mobile Devices; Internet; Smartphones; Education--Computer Applications; smartphones; Polls & surveys; computers; United States--US; Human Computer Interaction; Mobile Phones; Surveys; Human Machine Systems Design; Computers; Software; Websites; mobile surveys; test administration format; Test Forms; text boxes; Text Structure; websites; online surveys; RESPONSES; MAIL; MOBILE WEB SURVEY; OPEN-ENDED QUESTIONS; ORDER; experiments; computer methods, media, & applications; 0188: methodology and research technology; article; mobile surveys online surveys smartphones experiments; Users","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
